Regione;Etichette;Conteggio di FLG_DEF_6M;Somma di FLG_DEF_6M;TD
Centro ;Amministrazioni locali e imprese pubbliche;18;1;5.56
Centro ;Artigianato e piccole imprese;7716;1180;15.29
Centro ;Finanzarie;121;20;16.53
Centro ;Imprese private;19932;3648;18.3
Centro ;NGO e altro;217;21;9.68
Nord;Amministrazioni locali e imprese pubbliche;7;0;0
Nord;Artigianato e piccole imprese;8459;1217;14.39
Nord;Finanzarie;101;4;3.96
Nord;Imprese private;17542;2451;13.97
Nord;NGO e altro;299;19;6.35
Sud & Isole;Amministrazioni locali e imprese pubbliche;7;0;0
Sud & Isole;Artigianato e piccole imprese;2350;497;21.15
Sud & Isole;Finanzarie;35;7;20
Sud & Isole;Imprese private;9829;1929;19.63
Sud & Isole;NGO e altro;103;6;5.83
